gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9968938282251494,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,1,0,0,-1.2774445836787656,1,0,-0.6484894399837535,-0.9858420527110391,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,1.6137012404433893,1,0,1.1678546811978192,2.193561845638648,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,0,0,0,0.5549717837226001,1,1,0.33363258711442517,0.5596638241234456,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,0,1,1,-0.9109613101984924,1,0,-0.5055748979694671,-0.7959324012120871,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
1,0,1,1,1.5322605130033284,1,1,0.14751132309581955,1.1438196472554876,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
1,0,1,1,-0.62591876415828,1,0,-1.462769970065154,-0.8212786887683997,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,0,1.247217966963116,1,1,0.5014740841312035,1.1390106910437587,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
1,0,1,0,-0.7888002190384014,1,1,0.3801629031190768,-0.5728012448743126,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
1,0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.7177858338742281,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,-1.2367242199587352,1,0,-0.5155456799704636,-0.9630105404214102,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0.7992939660427822,1,1,0.4981504901308714,0.8550396207979685,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
1,0,1,1,1.4915401492832983,1,1,-0.020330173920958795,0.8710547685489547,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
1,1,0,0,0.43281069256250915,1,1,0.8471278601657574,0.687807065563498,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
1,1,1,0,-0.30015585439803716,1,1,0.1574821050968162,-0.232556563178432,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
1,1,1,1,1.125056875803025,1,1,0.33529438411459117,0.9602851716519005,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False
1,0,1,1,1.247217966963116,1,1,1.1595456961969886,1.7786239266358268,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
0,1,1,1,1.369379058123207,1,1,1.4520219682262263,2.116199417039877,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
1,0,1,1,0.06632741908223598,1,0,-1.3231790220511994,-0.6112508351359776,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,1.6137012404433893,1,1,1.42044782522307,2.4591574088919157,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,1,0,0.5956921474426305,1,1,1.1877962451998125,1.0709132239538224,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,1.125056875803025,1,1,0.8354952811645946,1.3989810990952338,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0,1.6137012404433893,0,0,-0.7531826509942192,0.30099492256964006,0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1,0,1,1,-0.5851984004382496,1,1,-0.34438058895335305,-0.5835441883381284,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0,-1.1960038562387048,1,1,0.3502505571160864,-0.8981116909952379,0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0,1,0,0.5956921474426305,1,1,0.46989994112804756,0.6046871251699504,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,0,0,0,-0.055833672077855064,1,0,0.47987072312904416,0.09593044117409366,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
1,0,1,1,0.7178532386027215,1,0,-1.4827115340671475,-0.5951033307920081,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,0,-0.9109613101984924,1,1,0.5014740841312035,-0.6143170962067587,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,-1.2774445836787656,1,0,-0.5221928679711283,-0.9841655358665832,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,0.7992939660427822,1,1,-1.4744025490663168,-0.524623445028371,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
0,1,1,1,1.2879383306831464,1,1,1.5567151792366918,2.12619233981012,0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,1,1,1.2064976032430856,1,1,-1.3464441800535252,-0.3772884976057319,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,1,-1.1960038562387048,1,1,-0.00869759491979612,-0.9275389735018706,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,1,0,0,0.9621754209229036,1,0,1.5201556452330371,1.7028718365850195,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
1,0,0,0,0.5549717837226001,1,0,-0.3028356639492,0.18048424465829432,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
1,0,1,1,-0.9924020376385531,1,0,-0.33607160395252245,-0.7930426155986171,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,-0.0965540357978854,1,1,0.3319707901142591,-0.07432425626682983,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,0.5142514200025698,1,1,-1.2916048790480432,-0.46905573540752543,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
1,0,1,1,-0.8702409464784621,0,0,-0.47233895796614456,-0.7563798393422275,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,0.3920903288424788,1,1,1.2974748472107767,0.903438014965549,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1,0,1,0,0.6771328748826912,1,1,-1.4827115340671475,-0.5763748728848633,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,0,-0.9516816739185228,1,1,1.1479131171958254,-0.600463772807834,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
1,0,1,0,0.10704778280226633,1,1,-0.08680205392760396,-0.028374459069441554,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,0,1,1,0.6364125111626608,1,0,-1.4660935640654862,-0.5394694428746708,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,1,1,0.5549717837226001,1,1,-1.4893587220678117,-0.5967798476364641,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,0,-0.13727439951791576,0,0,-1.0307027500219619,-0.5605362005911884,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,0,1,1,-0.0965540357978854,1,0,0.574593152138513,0.12813721213337698,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
0,1,0,0,-1.2774445836787656,1,0,0.3303089931140931,-0.9728490471665063,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,1,1,1.369379058123207,1,1,0.6394032351449919,1.5152563660311122,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True
1,0,0,0,1.3286586944031769,1,1,1.5384354122348645,2.129721848956343,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,0,0,1.6137012404433893,1,1,1.2010906212011416,2.285042310822311,0,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,1,1,1.5729808767233588,1,1,0.06940686408801149,1.0892666715141808,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,0,0,0,0.7992939660427822,1,0,-1.4544609850643233,-0.5173217729821226,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9968938282251494,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,1,-1.2774445836787656,1,0,-1.505976692069473,-0.9972247197076077,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,0,0.22920887396235737,1,0,1.0049985751815391,0.5849439333832664,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False
1,1,1,0,1.369379058123207,0,0,-0.6385186579827569,0.32978248154351997,0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,0,0,0,-1.1145631287986442,0,0,-1.3447823830533592,-0.9615987367629211,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,1.6137012404433893,1,1,1.3091074262119398,2.216216882470966,0,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
1,0,0,0,-0.015113308357824713,0,0,-1.150352134033923,-0.5965371938826611,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,0,0,0.43281069256250915,1,0,0.9833952141793793,0.724227188066085,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
0,0,1,1,1.6137012404433893,1,0,-1.5076384890696393,-0.4043554208708282,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,0.7992939660427822,1,0,-0.22639300194155818,0.33640031119268776,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0,0.43281069256250915,1,1,0.893658176170409,0.7386981755655985,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0,1,1,1.2879383306831464,0,1,-0.33773340095268845,0.5046034814423694,0,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False
0,0,1,1,-1.1960038562387048,1,0,0.8338334841644282,-0.8962145798291431,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,0.14776814652229667,0,0,-1.1204397880309327,-0.5088730104633518,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,0,0,0,0.35136996512244845,1,0,-1.4660935640654862,-0.6373471433858626,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,1,-0.21871512695797646,1,1,0.6792863631489789,-0.05654435394273246,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1,0,1,1,0.9621754209229036,1,1,1.1645310871974868,1.427548063747475,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,0,0,-1.0738427650786138,1,0,-1.46443176706532,-0.956061819289784,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,1,-1.0331224013585834,1,0,-0.467353566965646,-0.851235397646966,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,-1.1552834925186746,1,0,-1.4594463760648215,-0.9780550731571849,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,0.025607055362205634,1,1,0.8039211381614382,0.32995895700083117,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
0,0,1,0,1.6137012404433893,1,1,-1.3697093380558512,-0.24521867724050644,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,0,-1.2774445836787656,1,0,-1.4960059100684764,-0.9970923631146243,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,0,0,1.5729808767233588,0,1,-0.2762469119465419,0.7524853206680313,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
1,0,0,0,-0.7888002190384014,1,1,0.7042133181514708,-0.46947486461863935,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,1.4100994218432374,1,0,-0.47233895796614456,0.4325132571307681,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0,0,0,0.43281069256250915,1,1,-1.2982520670487077,-0.48158549287661645,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,-0.38159658183809786,1,1,0.3402797751150897,-0.22115183674969954,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,1.2879383306831464,1,0,-1.481049737066981,-0.44207704987108465,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,1,1.002895784642934,1,1,-1.5009913010689746,-0.4893724724304706,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,1,1,1,1.6137012404433893,1,1,0.7740087921584478,1.8291179668589772,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,1,0,1.1657772395230555,1,1,1.2060760122016398,1.6286418473535207,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
0,0,0,0,1.2879383306831464,1,1,0.6493740171459885,1.327662954909369,0,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
0,1,1,0,1.5729808767233588,1,0,-1.3564149620545218,-0.23099034349479566,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,1,1,1.3286586944031769,1,1,1.1396041321949948,1.8251693285016402,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
0,0,0,0,-1.1960038562387048,1,0,-1.5009913010689746,-0.9787389155542656,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,1,-0.0965540357978854,1,0,-0.00869759491979612,-0.1543338167252686,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
0,0,1,1,-0.7073594915983407,1,1,0.1574821050968162,-0.5331163264114697,0,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True
1,0,1,1,-0.9924020376385531,1,1,0.12590796209365976,-0.7568210279855054,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,1,1,1.5322605130033284,1,1,1.4420511862252297,2.4930627561278187,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False
0,0,1,1,1.2064976032430856,1,0,0.7091987091519689,1.2951032330354633,0,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
1,0,1,1,-1.0738427650786138,1,0,-1.4976677070686424,-0.9557309278073256,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,1,-0.748079855318371,1,1,0.5363718211346925,-0.49720357084865247,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,0,0,0,-0.4223169455581282,1,1,0.6443886261454905,-0.2019821901992768,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,1,1,-0.4223169455581282,1,0,-1.4827115340671475,-0.8205507275069912,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,1,-0.6666391278783103,1,0,-0.017006579920626735,-0.55402866810284,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
0,0,0,0,-0.9109613101984924,1,0,-1.2982520670487077,-0.8948027761706541,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,1,-0.7888002190384014,1,1,-0.29120308494803704,-0.6684950616012791,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,-1.2367242199587352,1,1,0.16412929309748078,-0.9461571342481963,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0.8400143297628127,1,1,0.30372024111143525,0.7405291084352016,0,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
1,0,1,1,-0.8702409464784621,1,0,-1.4677553610656522,-0.902611815156672,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,0,1.4915401492832983,1,0,-1.491020519067978,-0.40426718314217264,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,0,1.6137012404433893,1,1,0.8072447321617703,1.7535864711298086,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,1,1,-0.6666391278783103,1,0,-1.4744025490663168,-0.8640078088698598,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,1,0,0.43281069256250915,1,1,0.6477122201458225,0.5556710669017809,0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,1,0,-0.748079855318371,1,0,0.5712695581381809,-0.4844311596257586,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
1,0,0,0,-0.015113308357824713,1,0,-1.4694171580658184,-0.7170258123618429,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,1,0,0.06632741908223598,1,0,-1.33148800705203,-0.6615904593339806,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,1,1,-0.7073594915983407,1,1,1.3489905542159264,-0.3178824467883689,0,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,0,1,0,1.1657772395230555,1,1,-1.4694171580658184,-0.4534376574354894,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
1,0,0,0,-1.2774445836787656,1,0,-0.6468276429835875,-0.9858199932788752,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,0.025607055362205634,1,0,0.3319707901142591,0.07656225973419606,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
0,0,0,0,-0.5037576729981889,1,1,-0.4307940329619915,-0.5540948463993317,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,-1.1960038562387048,0,0,-1.1420431490330922,-0.9695621917740862,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,0,0,0,-0.7888002190384014,1,0,-1.4993295040688086,-0.8978028589449434,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,0,1,0,0.3106496014024181,1,0,-0.27126152094604356,0.043826062402979205,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,1,0.43281069256250915,1,1,0.2372483611047903,0.3942401423264143,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False
1,0,1,1,1.4915401492832983,1,0,-1.4960059100684764,-0.39899497885500224,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,1,1,1.6137012404433893,1,0,1.4935668932303794,2.580748998979292,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
0,0,1,1,1.0843365120829946,1,0,-1.5109620830699715,-0.47960014398186607,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,-0.5037576729981889,1,1,1.0565142821866886,-0.16681945533003184,0,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,1,1,-0.3408762181180675,1,1,-1.3514295710540236,-0.7466516297579507,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,0,1.0843365120829946,1,1,1.5484061942358611,1.8706338181914235,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,1,1.6137012404433893,1,1,1.5783185402388515,2.5420788143959885,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,0,1,-1.2774445836787656,1,0,-1.462769970065154,-0.9966511744713464,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0,-0.21871512695797646,1,1,1.2343265612044643,0.17708709210505494,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False
1,0,0,0,-0.748079855318371,1,1,0.5081212721318681,-0.5150717109014056,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,1,1.5729808767233588,1,0,1.3556377422165908,2.261416658974782,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False
0,0,0,1,-0.7888002190384014,1,1,0.4499583771260538,-0.5496388411022254,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0,0,0,0.47353105628253944,1,0,0.13587874409465642,0.2996492972076425,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,0.025607055362205634,1,1,0.5047976781315361,0.1787194900851829,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
0,0,1,1,1.6137012404433893,0,1,-0.3094828519498643,0.8380097391674431,0,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False
0,0,1,0,1.2879383306831464,1,1,1.2526063282062914,1.9299075124158032,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False
